CSD_ID,County,LatDD,LongDD,Surf_Elev,YearMsr,DateMsr,Season,WatLevel
403453099141801,PHELPS,40.58307501,-99.2365144,2255.34,2001,2001-05-07,Spring,49.45
403453099190801,PHELPS,40.5807096794444,-99.3229107,2282.14,2001,2001-05-07,Spring,36.05
403454099304801,PHELPS,40.57931189,-99.51412709,2390.5,2001,2001-05-08,Spring,31.0
403506099350101,PHELPS,40.5833317,-99.5866221,2484.33,2001,2001-05-08,Spring,92.35
403507099234101,PHELPS,40.5836771413889,-99.3985091,2295.65,2001,2001-05-07,Spring,7.25
403507099254101,PHELPS,40.58520714,-99.42844836,2318.5,2001,2001-05-07,Spring,16.61
403520099201601,PHELPS,40.5886101475,-99.3416473,2265.95,2001,2001-05-07,Spring,11.0
403625099315401,PHELPS,40.60535831,-99.53303177,2384.53,2001,2001-05-08,Spring,30.11
403625099361001,PHELPS,40.60535831,-99.60306609,2454.12,2001,2001-05-08,Spring,79.9
403638099154301,PHELPS,40.60901195,-99.26298962,2222.0,2001,2001-05-07,Spring,14.39
403646099293301,PHELPS,40.6127772,-99.4935704,2354.25,2001,2001-05-07,Spring,10.52
403730099373501,PHELPS,40.6268217,-99.6246292,2471.08,2001,2001-05-08,Spring,85.0
403822099324501,PHELPS,40.6415361,-99.5482644,2377.53,2001,2001-05-07,Spring,35.0
403902099313701,PHELPS,40.6483999,-99.5291531,2345.9,2001,2001-05-07,Spring,32.0
403915099190801,PHELPS,40.6573434,-99.3214291,2234.03,2001,2001-05-07,Spring,8.61
403922099223301,PHELPS,40.65834351,-99.38037703,2253.27,2001,2001-05-01,Spring,5.93
403928099333601,PHELPS,40.6571948,-99.5612991,2355.41,2001,2001-05-07,Spring,35.18
403928099371801,PHELPS,40.655954,-99.6202609,2432.98,2001,2001-05-07,Spring,80.21
403941099331901,PHELPS,40.66044972,-99.55637462,2347.21,2001,2001-05-07,Spring,4.0
403941099342701,PHELPS,40.6636923,-99.5766538,2326.71,2001,2001-05-07,Spring,7.11
404007099294001,PHELPS,40.6709022,-99.4936146,2290.54,2001,2001-05-07,Spring,6.0
404007099351901,PHELPS,40.6709256,-99.5865622,2322.26,2001,2001-05-07,Spring,7.18
404016099370201,PHELPS,40.6711189,-99.61760995,2335.44,2001,2001-05-01,Spring,5.94
404020099355301,PHELPS,40.6710839,-99.5961084,2326.91,2001,2001-05-07,Spring,4.0
402107099262000,PHELPS,40.35080555555556,-99.43768055555556,2363.91,2002,2002-04-15,Spring,200.35
402110099140001,PHELPS,40.351999,-99.2329232,2283.76,2002,2002-04-24,Spring,166.83
402115099213100,PHELPS,40.35468888888889,-99.35943333333331,2345.58,2002,2002-04-15,Spring,204.64
402124099201601,PHELPS,40.3563466,-99.3403749,2318.47,2002,2002-04-24,Spring,182.41
402159099301600,PHELPS,40.3649,-99.50220555555556,2377.49,2002,2002-04-15,Spring,181.61
402200099160700,PHELPS,40.3669,-99.267175,2280.22,2002,2002-04-15,Spring,146.67
402233099341700,PHELPS,40.376269444444446,-99.57279166666666,2335.32,2002,2002-04-15,Spring,111.82
402320099231001,PHELPS,40.38914722222222,-99.38615277777778,2384.17,2002,2002-04-15,Spring,216.37
402326099185300,PHELPS,40.390366666666665,-99.31649722222222,2306.56,2002,2002-04-15,Spring,145.22
402340099353701,PHELPS,40.39445302,-99.59399869,2264.29,2002,2002-04-24,Spring,25.21
402342099143300,PHELPS,40.39436388888889,-99.24273333333332,2261.52,2002,2002-04-15,Spring,108.37
402406099311800,PHELPS,40.40154444444444,-99.52104166666666,2406.07,2002,2002-04-15,Spring,180.95
402421099112000,PHELPS,40.40549166666666,-99.18921666666668,2216.62,2002,2002-04-15,Spring,52.18
402435099262900,PHELPS,40.40768055555555,-99.44083333333332,2405.19,2002,2002-04-15,Spring,208.39
402513099164801,PHELPS,40.42006111111111,-99.27985277777778,2278.97,2002,2002-04-15,Spring,67.98
402524099201601,PHELPS,40.42334431,-99.33815365,2312.07,2002,2002-04-24,Spring,109.8
402532099235801,PHELPS,40.42582814,-99.40068743,2321.09,2002,2002-04-25,Spring,115.52
402609099350800,PHELPS,40.43199166666666,-99.58200277777776,2443.0,2002,2002-04-15,Spring,174.62
402630099305500,PHELPS,40.44133611111111,-99.51204166666666,2426.38,2002,2002-04-15,Spring,178.77
402703099150901,PHELPS,40.44969595,-99.25284899,2253.96,2002,2002-04-24,Spring,39.36
402716099212401,PHELPS,40.4529071,-99.3592878,2307.74,2002,2002-04-25,Spring,67.46
402756099320601,PHELPS,40.46654722222223,-99.53547222222224,2446.36,2002,2002-04-15,Spring,161.88
402802099285801,PHELPS,40.46775,-99.48183333,2376.84,2002,2002-04-24,Spring,99.6
402813099382100,PHELPS,40.46941944444445,-99.63914166666667,2473.68,2002,2002-04-15,Spring,155.39
402821099282901,PHELPS,40.47215973,-99.47068872,2363.91,2002,2002-04-15,Spring,90.09
402843099192001,PHELPS,40.47788889,-99.31941672,2311.88,2002,2002-04-15,Spring,40.76
402851099130101,PHELPS,40.4809986,-99.2168379,2244.15,2002,2002-04-15,Spring,25.35
402853099104601,PHELPS,40.4815796,-99.179559,2221.31,2002,2002-04-15,Spring,13.08
402853099152001,PHELPS,40.4816481,-99.2557469,2251.06,2002,2002-04-15,Spring,21.81
402905099115301,PHELPS,40.4848551,-99.1983097,2241.11,2002,2002-04-15,Spring,27.76
402906099342201,PHELPS,40.485083333333336,-99.57288888888888,2458.82,2002,2002-04-15,Spring,148.66
402924099235501,PHELPS,40.4901949,-99.398706,2336.37,2002,2002-04-15,Spring,50.56
402945099151900,PHELPS,40.49312395,-99.25285328,2243.78,2002,2002-04-15,Spring,16.87
402952099161701,PHELPS,40.49624602,-99.2746825,2255.28,2002,2002-04-15,Spring,15.03
403014099213701,PHELPS,40.50113773,-99.35723759,2325.73,2002,2002-04-15,Spring,27.84
403037099313401,PHELPS,40.5104684,-99.5262137,2408.97,2002,2002-04-25,Spring,72.08
403123099261501,PHELPS,40.52446389,-99.436875,2361.96,2002,2002-04-24,Spring,37.78
403124099152601,PHELPS,40.52215595,-99.25856338,2258.2,2002,2002-04-15,Spring,41.84
403125099295701,PHELPS,40.5247252,-99.4992246,2402.13,2002,2002-04-25,Spring,56.06
403132099381001,PHELPS,40.52556319,-99.63650076,2517.21,2002,2002-04-24,Spring,152.11
403137099330201,PHELPS,40.5263766547222,-99.5496279,2405.25,2002,2002-04-15,Spring,53.2
403138099190801,PHELPS,40.5255972,-99.3224515,2277.27,2002,2002-04-25,Spring,18.59
403138099235801,PHELPS,40.5255500233333,-99.399115,2328.14,2002,2002-04-15,Spring,20.89
403163099379201,PHELPS,40.52718414,-99.63201494,2519.15,2002,2002-04-15,Spring,154.43
403210099194201,PHELPS,40.53813889,-99.32944444,2277.13,2002,2002-04-24,Spring,23.54
403217099235801,PHELPS,40.53806574,-99.39982287,2321.45,2002,2002-04-24,Spring,18.09
403217099312001,PHELPS,40.5392815,-99.5207383,2451.89,2002,2002-04-15,Spring,98.69
403224099261801,PHELPS,40.54167314,-99.43849253,2347.7,2002,2002-04-15,Spring,17.1
403230099195901,PHELPS,40.54167314,-99.3339024,2269.36,2002,2002-04-15,Spring,7.97
403309099250701,PHELPS,40.5543784,-99.4199673,2322.67,2002,2002-04-15,Spring,10.42
403309099270601,PHELPS,40.55026689,-99.45178833,2342.87,2002,2002-04-15,Spring,14.45
403309099281401,PHELPS,40.5521635,-99.4737128,2354.64,2002,2002-04-15,Spring,19.15
